datetime,tide_m,pair,month,day
2023-03-18 02:09:00,0.34,1,3,18
2023-03-18 09:38:00,1.6,2,3,18
2023-03-18 12:51:00,1.44,3,3,18
2023-03-18 18:55:00,2.39,4,3,18
2023-03-19 02:59:00,0.23,1,3,19
2023-03-19 09:57:00,1.66,2,3,19
2023-03-19 13:59:00,1.22,3,3,19
2023-03-19 20:00:00,2.5,4,3,19
2023-03-20 03:41:00,0.2,1,3,20
2023-03-20 10:19:00,1.74,2,3,20
2023-03-20 14:55:00,0.99,3,3,20
2023-03-20 20:57:00,2.55,4,3,20
2023-03-21 04:17:00,0.23,1,3,21
2023-03-21 10:41:00,1.83,2,3,21
2023-03-21 15:46:00,0.77,3,3,21
2023-03-21 21:50:00,2.52,4,3,21
2023-03-22 04:50:00,0.34,1,3,22
2023-03-22 11:02:00,1.94,2,3,22
2023-03-22 16:35:00,0.61,3,3,22
2023-03-22 22:40:00,2.41,4,3,22
2023-03-23 05:18:00,0.48,1,3,23
2023-03-23 11:19:00,2.06,2,3,23
2023-03-23 17:22:00,0.52,3,3,23
2023-03-23 23:29:00,2.24,4,3,23
2023-03-24 05:40:00,0.65,1,3,24
2023-03-24 11:37:00,2.16,2,3,24
2023-03-24 18:10:00,0.5,3,3,24
2023-03-25 00:16:00,2.01,1,3,25
2023-03-25 05:58:00,0.82,2,3,25
2023-03-25 11:59:00,2.22,3,3,25
2023-03-25 18:59:00,0.52,4,3,25
2023-03-26 01:03:00,1.77,1,3,26
2023-03-26 06:17:00,0.98,2,3,26
2023-03-26 12:25:00,2.24,3,3,26
2023-03-26 19:54:00,0.59,4,3,26
2023-03-27 01:59:00,1.53,1,3,27
2023-03-27 06:33:00,1.12,2,3,27
2023-03-27 12:52:00,2.21,3,3,27
2023-03-27 20:57:00,0.66,4,3,27
2023-03-28 03:17:00,1.34,1,3,28
2023-03-28 06:26:00,1.24,2,3,28
2023-03-28 13:24:00,2.14,3,3,28
2023-03-28 22:12:00,0.7,4,3,28
2023-03-29 14:10:00,2.04,1,3,29
2023-03-29 23:47:00,0.68,2,3,29
2023-03-30 15:45:00,1.96,1,3,30
2023-03-31 01:08:00,0.61,1,3,31
2023-03-31 17:43:00,1.95,2,3,31
2023-04-01 02:00:00,0.54,1,4,1
2023-04-01 09:49:00,1.59,2,4,1
2023-04-01 13:01:00,1.5,3,4,1
2023-04-01 18:57:00,2.0,4,4,1
2023-04-02 02:38:00,0.5,1,4,2
2023-04-02 09:37:00,1.62,2,4,2
2023-04-02 13:55:00,1.33,3,4,2
2023-04-02 19:49:00,2.07,4,4,2
2023-04-03 03:10:00,0.48,1,4,3
2023-04-03 09:35:00,1.68,2,4,3
2023-04-03 14:35:00,1.15,3,4,3
2023-04-03 20:34:00,2.12,4,4,3
2023-04-04 03:38:00,0.5,1,4,4
2023-04-04 09:44:00,1.77,2,4,4
2023-04-04 15:12:00,0.97,3,4,4
2023-04-04 21:16:00,2.15,4,4,4
2023-04-05 04:02:00,0.55,1,4,5
2023-04-05 09:57:00,1.89,2,4,5
2023-04-05 15:48:00,0.8,3,4,5
2023-04-05 21:58:00,2.14,4,4,5
2023-04-06 04:23:00,0.62,1,4,6
2023-04-06 10:13:00,2.02,2,4,6
2023-04-06 16:25:00,0.66,3,4,6
2023-04-06 22:39:00,2.09,4,4,6
2023-04-07 04:44:00,0.7,1,4,7
2023-04-07 10:33:00,2.15,2,4,7
2023-04-07 17:04:00,0.54,3,4,7
2023-04-07 23:23:00,2.01,4,4,7
2023-04-08 05:06:00,0.8,1,4,8
2023-04-08 10:56:00,2.28,2,4,8
2023-04-08 17:44:00,0.47,3,4,8
2023-04-09 00:09:00,1.88,1,4,9
2023-04-09 05:30:00,0.91,2,4,9
2023-04-09 11:23:00,2.37,3,4,9
2023-04-09 18:29:00,0.44,4,4,9
2023-04-10 01:02:00,1.72,1,4,10
2023-04-10 05:54:00,1.04,2,4,10
2023-04-10 11:52:00,2.43,3,4,10
2023-04-10 19:22:00,0.44,4,4,10
2023-04-11 02:10:00,1.55,1,4,11
2023-04-11 06:18:00,1.19,2,4,11
2023-04-11 12:26:00,2.44,3,4,11
2023-04-11 20:25:00,0.46,4,4,11
2023-04-12 03:36:00,1.41,1,4,12
2023-04-12 06:35:00,1.33,2,4,12
2023-04-12 13:08:00,2.4,3,4,12
2023-04-12 21:39:00,0.49,4,4,12
2023-04-13 14:07:00,2.31,1,4,13
2023-04-13 23:02:00,0.48,2,4,13
2023-04-14 15:48:00,2.23,1,4,14
2023-04-15 00:28:00,0.43,1,4,15
2023-04-15 08:37:00,1.66,2,4,15
2023-04-15 11:35:00,1.55,3,4,15
2023-04-15 17:33:00,2.23,4,4,15
2023-04-16 01:31:00,0.38,1,4,16
2023-04-16 08:53:00,1.74,2,4,16
2023-04-16 12:59:00,1.33,3,4,16
2023-04-16 18:51:00,2.27,4,4,16
2023-04-17 02:19:00,0.37,1,4,17
2023-04-17 09:13:00,1.82,2,4,17
2023-04-17 14:00:00,1.06,3,4,17
2023-04-17 19:55:00,2.29,4,4,17
2023-04-18 02:58:00,0.42,1,4,18
2023-04-18 09:32:00,1.94,2,4,18
2023-04-18 14:54:00,0.81,3,4,18
2023-04-18 20:52:00,2.26,4,4,18
2023-04-19 03:31:00,0.52,1,4,19
2023-04-19 09:47:00,2.07,2,4,19
2023-04-19 15:43:00,0.59,3,4,19
2023-04-19 21:46:00,2.18,4,4,19
2023-04-20 03:59:00,0.64,1,4,20
2023-04-20 10:03:00,2.22,2,4,20
2023-04-20 16:31:00,0.44,3,4,20
2023-04-20 22:40:00,2.06,4,4,20
2023-04-21 04:24:00,0.78,1,4,21
2023-04-21 10:24:00,2.34,2,4,21
2023-04-21 17:18:00,0.36,3,4,21
2023-04-21 23:33:00,1.91,4,4,21
2023-04-22 04:46:00,0.92,1,4,22
2023-04-22 10:49:00,2.42,2,4,22
2023-04-22 18:05:00,0.34,3,4,22
2023-04-23 00:23:00,1.75,1,4,23
2023-04-23 05:08:00,1.05,2,4,23
2023-04-23 11:15:00,2.44,3,4,23
2023-04-23 18:53:00,0.37,4,4,23
2023-04-24 01:14:00,1.6,1,4,24
2023-04-24 05:29:00,1.16,2,4,24
2023-04-24 11:43:00,2.41,3,4,24
2023-04-24 19:44:00,0.43,4,4,24
2023-04-25 02:10:00,1.47,1,4,25
2023-04-25 05:43:00,1.26,2,4,25
2023-04-25 12:11:00,2.33,3,4,25
2023-04-25 20:39:00,0.5,4,4,25
2023-04-26 12:43:00,2.23,1,4,26
2023-04-26 21:40:00,0.57,2,4,26
2023-04-27 13:25:00,2.1,1,4,27
2023-04-27 22:49:00,0.6,2,4,27
2023-04-28 14:45:00,1.96,1,4,28
2023-04-28 23:59:00,0.61,2,4,28
2023-04-29 16:38:00,1.89,1,4,29
2023-04-30 00:54:00,0.6,1,4,30
2023-04-30 08:42:00,1.65,2,4,30
2023-04-30 12:41:00,1.48,3,4,30
2023-04-30 18:07:00,1.87,4,4,30
2023-05-01 01:36:00,0.61,1,5,1
2023-05-01 08:27:00,1.72,2,5,1
2023-05-01 13:37:00,1.28,3,5,1
2023-05-01 19:14:00,1.89,4,5,1
2023-05-02 02:09:00,0.63,1,5,2
2023-05-02 08:35:00,1.83,2,5,2
2023-05-02 14:19:00,1.07,3,5,2
2023-05-02 20:08:00,1.91,4,5,2
2023-05-03 02:38:00,0.68,1,5,3
2023-05-03 08:48:00,1.97,2,5,3
2023-05-03 14:58:00,0.86,3,5,3
2023-05-03 20:59:00,1.91,4,5,3
2023-05-04 03:03:00,0.74,1,5,4
2023-05-04 09:04:00,2.12,2,5,4
2023-05-04 15:37:00,0.66,3,5,4
2023-05-04 21:50:00,1.89,4,5,4
2023-05-05 03:27:00,0.82,1,5,5
2023-05-05 09:24:00,2.29,2,5,5
2023-05-05 16:16:00,0.48,3,5,5
2023-05-05 22:42:00,1.85,4,5,5
2023-05-06 03:54:00,0.9,1,5,6
2023-05-06 09:50:00,2.44,2,5,6
2023-05-06 16:59:00,0.35,3,5,6
2023-05-06 23:35:00,1.78,4,5,6
2023-05-07 04:21:00,1.0,1,5,7
2023-05-07 10:19:00,2.56,2,5,7
2023-05-07 17:44:00,0.27,3,5,7
2023-05-08 00:31:00,1.69,1,5,8
2023-05-08 04:50:00,1.1,2,5,8
2023-05-08 10:51:00,2.64,3,5,8
2023-05-08 18:35:00,0.23,4,5,8
2023-05-09 01:28:00,1.58,1,5,9
2023-05-09 05:20:00,1.21,2,5,9
2023-05-09 11:28:00,2.65,3,5,9
2023-05-09 19:31:00,0.24,4,5,9
2023-05-10 02:33:00,1.49,1,5,10
2023-05-10 05:51:00,1.32,2,5,10
2023-05-10 12:10:00,2.6,3,5,10
2023-05-10 20:32:00,0.28,4,5,10
2023-05-11 13:01:00,2.48,1,5,11
2023-05-11 21:36:00,0.33,2,5,11
2023-05-12 14:10:00,2.33,1,5,12
2023-05-12 22:42:00,0.38,2,5,12
2023-05-13 07:06:00,1.63,1,5,13
2023-05-13 09:52:00,1.55,2,5,13
2023-05-13 15:54:00,2.2,3,5,13
2023-05-13 23:48:00,0.43,4,5,13
2023-05-14 07:35:00,1.73,1,5,14
2023-05-14 11:36:00,1.4,2,5,14
2023-05-14 17:26:00,2.11,3,5,14
2023-05-15 00:43:00,0.5,1,5,15
2023-05-15 08:00:00,1.84,2,5,15
2023-05-15 12:52:00,1.16,3,5,15
2023-05-15 18:41:00,2.04,4,5,15
2023-05-16 01:29:00,0.58,1,5,16
2023-05-16 08:20:00,1.96,2,5,16
2023-05-16 13:53:00,0.9,3,5,16
2023-05-16 19:46:00,1.96,4,5,16
2023-05-17 02:06:00,0.69,1,5,17
2023-05-17 08:37:00,2.11,2,5,17
2023-05-17 14:48:00,0.66,3,5,17
2023-05-17 20:49:00,1.88,4,5,17
2023-05-18 02:38:00,0.81,1,5,18
2023-05-18 08:54:00,2.27,2,5,18
2023-05-18 15:40:00,0.46,3,5,18
2023-05-18 21:51:00,1.79,4,5,18
2023-05-19 03:07:00,0.93,1,5,19
2023-05-19 09:17:00,2.4,2,5,19
2023-05-19 16:29:00,0.33,3,5,19
2023-05-19 22:50:00,1.71,4,5,19
2023-05-20 03:34:00,1.03,1,5,20
2023-05-20 09:43:00,2.49,2,5,20
2023-05-20 17:16:00,0.26,3,5,20
2023-05-20 23:42:00,1.63,4,5,20
2023-05-21 04:00:00,1.12,1,5,21
